symbol,as_of_date,cik,company_name,status,revenue_growth_yoy,net_income_positive,operating_cash_flow_positive,debt_to_equity,current_ratio,latest_filing_date,recent_8k_count_90d,failure_reasons,data_warnings
XOM,2026-06-12,0000034088,EXXON MOBIL CORP,review,,,,,,,,revenue_growth_missing;net_income_missing;operating_cash_flow_missing;sec_data_incomplete,companyfacts_cache_missing;submissions_cache_missing
KO,2026-06-12,0000021344,COCA COLA CO,review,,,,,,,,revenue_growth_missing;net_income_missing;operating_cash_flow_missing;sec_data_incomplete,companyfacts_cache_missing;submissions_cache_missing
PEP,2026-06-12,0000077476,PEPSICO INC,review,,,,,,,,revenue_growth_missing;net_income_missing;operating_cash_flow_missing;sec_data_incomplete,companyfacts_cache_missing;submissions_cache_missing
MRK,2026-06-12,0000310158,"Merck & Co., Inc.",review,,,,,,,,revenue_growth_missing;net_income_missing;operating_cash_flow_missing;sec_data_incomplete,companyfacts_cache_missing;submissions_cache_missing
ABBV,2026-06-12,0001551152,AbbVie Inc.,review,,,,,,,,revenue_growth_missing;net_income_missing;operating_cash_flow_missing;sec_data_incomplete,companyfacts_cache_missing;submissions_cache_missing
CRM,2026-06-12,0001108524,"Salesforce, Inc.",review,,,,,,,,revenue_growth_missing;net_income_missing;operating_cash_flow_missing;sec_data_incomplete,companyfacts_cache_missing;submissions_cache_missing
ORCL,2026-06-12,0001341439,ORACLE CORP,review,,,,,,,,revenue_growth_missing;net_income_missing;operating_cash_flow_missing;sec_data_incomplete,companyfacts_cache_missing;submissions_cache_missing
ADBE,2026-06-12,0000796343,ADOBE INC.,review,,,,,,,,revenue_growth_missing;net_income_missing;operating_cash_flow_missing;sec_data_incomplete,companyfacts_cache_missing;submissions_cache_missing
AMD,2026-06-12,0000002488,ADVANCED MICRO DEVICES INC,review,,,,,,,,revenue_growth_missing;net_income_missing;operating_cash_flow_missing;sec_data_incomplete,companyfacts_cache_missing;submissions_cache_missing
CSCO,2026-06-12,0000858877,"CISCO SYSTEMS, INC.",review,,,,,,,,revenue_growth_missing;net_income_missing;operating_cash_flow_missing;sec_data_incomplete,companyfacts_cache_missing;submissions_cache_missing
INTC,2026-06-12,0000050863,INTEL CORP,review,,,,,,,,revenue_growth_missing;net_income_missing;operating_cash_flow_missing;sec_data_incomplete,companyfacts_cache_missing;submissions_cache_missing
QCOM,2026-06-12,0000804328,QUALCOMM INC/DE,review,,,,,,,,revenue_growth_missing;net_income_missing;operating_cash_flow_missing;sec_data_incomplete,companyfacts_cache_missing;submissions_cache_missing
TXN,2026-06-12,0000097476,TEXAS INSTRUMENTS INC,review,,,,,,,,revenue_growth_missing;net_income_missing;operating_cash_flow_missing;sec_data_incomplete,companyfacts_cache_missing;submissions_cache_missing
AMAT,2026-06-12,0000006951,APPLIED MATERIALS INC /DE,review,,,,,,,,revenue_growth_missing;net_income_missing;operating_cash_flow_missing;sec_data_incomplete,companyfacts_cache_missing;submissions_cache_missing
MU,2026-06-12,0000723125,MICRON TECHNOLOGY INC,review,,,,,,,,revenue_growth_missing;net_income_missing;operating_cash_flow_missing;sec_data_incomplete,companyfacts_cache_missing;submissions_cache_missing
NOW,2026-06-12,0001373715,"ServiceNow, Inc.",review,,,,,,,,revenue_growth_missing;net_income_missing;operating_cash_flow_missing;sec_data_incomplete,companyfacts_cache_missing;submissions_cache_missing
IBM,2026-06-12,0000051143,INTERNATIONAL BUSINESS MACHINES CORP,review,,,,,,,,revenue_growth_missing;net_income_missing;operating_cash_flow_missing;sec_data_incomplete,companyfacts_cache_missing;submissions_cache_missing
GS,2026-06-12,0000886982,GOLDMAN SACHS GROUP INC,review,,,,,,,,revenue_growth_missing;net_income_missing;operating_cash_flow_missing;sec_data_incomplete,companyfacts_cache_missing;submissions_cache_missing
MS,2026-06-12,0000895421,MORGAN STANLEY,review,,,,,,,,revenue_growth_missing;net_income_missing;operating_cash_flow_missing;sec_data_incomplete,companyfacts_cache_missing;submissions_cache_missing
C,2026-06-12,0000831001,CITIGROUP INC,review,,,,,,,,revenue_growth_missing;net_income_missing;operating_cash_flow_missing;sec_data_incomplete,companyfacts_cache_missing;submissions_cache_missing
WFC,2026-06-12,0000072971,WELLS FARGO & COMPANY/MN,review,,,,,,,,revenue_growth_missing;net_income_missing;operating_cash_flow_missing;sec_data_incomplete,companyfacts_cache_missing;submissions_cache_missing
AXP,2026-06-12,0000004962,AMERICAN EXPRESS CO,review,,,,,,,,revenue_growth_missing;net_income_missing;operating_cash_flow_missing;sec_data_incomplete,companyfacts_cache_missing;submissions_cache_missing
MCD,2026-06-12,0000063908,MCDONALDS CORP,review,,,,,,,,revenue_growth_missing;net_income_missing;operating_cash_flow_missing;sec_data_incomplete,companyfacts_cache_missing;submissions_cache_missing
NKE,2026-06-12,0000320187,"NIKE, Inc.",review,,,,,,,,revenue_growth_missing;net_income_missing;operating_cash_flow_missing;sec_data_incomplete,companyfacts_cache_missing;submissions_cache_missing
DIS,2026-06-12,0001744489,Walt Disney Co,review,,,,,,,,revenue_growth_missing;net_income_missing;operating_cash_flow_missing;sec_data_incomplete,companyfacts_cache_missing;submissions_cache_missing
CMCSA,2026-06-12,0001166691,COMCAST CORP,review,,,,,,,,revenue_growth_missing;net_income_missing;operating_cash_flow_missing;sec_data_incomplete,companyfacts_cache_missing;submissions_cache_missing
T,2026-06-12,0000732717,AT&T INC.,review,,,,,,,,revenue_growth_missing;net_income_missing;operating_cash_flow_missing;sec_data_incomplete,companyfacts_cache_missing;submissions_cache_missing
VZ,2026-06-12,0000732712,VERIZON COMMUNICATIONS INC,review,,,,,,,,revenue_growth_missing;net_income_missing;operating_cash_flow_missing;sec_data_incomplete,companyfacts_cache_missing;submissions_cache_missing
PFE,2026-06-12,0000078003,PFIZER INC,review,,,,,,,,revenue_growth_missing;net_income_missing;operating_cash_flow_missing;sec_data_incomplete,companyfacts_cache_missing;submissions_cache_missing
TMO,2026-06-12,0000097745,THERMO FISHER SCIENTIFIC INC.,review,,,,,,,,revenue_growth_missing;net_income_missing;operating_cash_flow_missing;sec_data_incomplete,companyfacts_cache_missing;submissions_cache_missing
ABT,2026-06-12,0000001800,ABBOTT LABORATORIES,review,,,,,,,,revenue_growth_missing;net_income_missing;operating_cash_flow_missing;sec_data_incomplete,companyfacts_cache_missing;submissions_cache_missing
DHR,2026-06-12,0000313616,DANAHER CORP /DE/,review,,,,,,,,revenue_growth_missing;net_income_missing;operating_cash_flow_missing;sec_data_incomplete,companyfacts_cache_missing;submissions_cache_missing
LIN,2026-06-12,0001707925,LINDE PLC,review,,,,,,,,revenue_growth_missing;net_income_missing;operating_cash_flow_missing;sec_data_incomplete,companyfacts_cache_missing;submissions_cache_missing
CAT,2026-06-12,0000018230,CATERPILLAR INC,review,,,,,,,,revenue_growth_missing;net_income_missing;operating_cash_flow_missing;sec_data_incomplete,companyfacts_cache_missing;submissions_cache_missing
GE,2026-06-12,0000040545,GENERAL ELECTRIC CO,review,,,,,,,,revenue_growth_missing;net_income_missing;operating_cash_flow_missing;sec_data_incomplete,companyfacts_cache_missing;submissions_cache_missing
HON,2026-06-12,0000773840,HONEYWELL INTERNATIONAL INC,review,,,,,,,,revenue_growth_missing;net_income_missing;operating_cash_flow_missing;sec_data_incomplete,companyfacts_cache_missing;submissions_cache_missing
UPS,2026-06-12,0001090727,UNITED PARCEL SERVICE INC,review,,,,,,,,revenue_growth_missing;net_income_missing;operating_cash_flow_missing;sec_data_incomplete,companyfacts_cache_missing;submissions_cache_missing
LMT,2026-06-12,0000936468,LOCKHEED MARTIN CORP,review,,,,,,,,revenue_growth_missing;net_income_missing;operating_cash_flow_missing;sec_data_incomplete,companyfacts_cache_missing;submissions_cache_missing
RTX,2026-06-12,0000101829,RTX Corp,review,,,,,,,,revenue_growth_missing;net_income_missing;operating_cash_flow_missing;sec_data_incomplete,companyfacts_cache_missing;submissions_cache_missing
BA,2026-06-12,0000012927,BOEING CO,review,,,,,,,,revenue_growth_missing;net_income_missing;operating_cash_flow_missing;sec_data_incomplete,companyfacts_cache_missing;submissions_cache_missing
CVX,2026-06-12,0000093410,CHEVRON CORP,review,,,,,,,,revenue_growth_missing;net_income_missing;operating_cash_flow_missing;sec_data_incomplete,companyfacts_cache_missing;submissions_cache_missing
COP,2026-06-12,0001163165,CONOCOPHILLIPS,review,,,,,,,,revenue_growth_missing;net_income_missing;operating_cash_flow_missing;sec_data_incomplete,companyfacts_cache_missing;submissions_cache_missing
SLB,2026-06-12,0000087347,SLB LIMITED/NV,review,,,,,,,,revenue_growth_missing;net_income_missing;operating_cash_flow_missing;sec_data_incomplete,companyfacts_cache_missing;submissions_cache_missing
NEE,2026-06-12,0000753308,NEXTERA ENERGY INC,review,,,,,,,,revenue_growth_missing;net_income_missing;operating_cash_flow_missing;sec_data_incomplete,companyfacts_cache_missing;submissions_cache_missing
DUK,2026-06-12,0001326160,Duke Energy CORP,review,,,,,,,,revenue_growth_missing;net_income_missing;operating_cash_flow_missing;sec_data_incomplete,companyfacts_cache_missing;submissions_cache_missing
SO,2026-06-12,0000092122,SOUTHERN CO,review,,,,,,,,revenue_growth_missing;net_income_missing;operating_cash_flow_missing;sec_data_incomplete,companyfacts_cache_missing;submissions_cache_missing
AMT,2026-06-12,0001053507,AMERICAN TOWER CORP /MA/,review,,,,,,,,revenue_growth_missing;net_income_missing;operating_cash_flow_missing;sec_data_incomplete,companyfacts_cache_missing;submissions_cache_missing
PLD,2026-06-12,0001045609,"Prologis, Inc.",review,,,,,,,,revenue_growth_missing;net_income_missing;operating_cash_flow_missing;sec_data_incomplete,companyfacts_cache_missing;submissions_cache_missing
